"font","category","purpose","impression","purpose_it","impression_it"
"Noto Sans JP","Sans Serif","Web page, UI of App, Slides, Headline of poster","Simple, modern, logical, and casual","Pagine web, UI di app, presentazioni, titoli di poster","Semplice, moderno, logico e informale"
"Noto Serif JP","Serif","Formal documents, books, articles, certificates","Formal, elegant, trustworthy, and traditional","Documenti formali, libri, articoli, certificati","Formale, elegante, affidabile e tradizionale"
"M PLUS 1p","Sans Serif","UI design, signage, mobile apps, web body text","Clean, neutral, friendly, and modern","Design di interfacce, segnaletica, app mobili, testo per il web","Pulito, neutro, amichevole e moderno"
"M PLUS Rounded 1c","Sans Serif","App icons, children's content, casual branding, signage","Soft, friendly, approachable, and cute","Icone di app, contenuti per bambini, branding informale, segnaletica","Morbido, amichevole, accogliente e carino"
"M PLUS 2","Sans Serif","Web articles, long-form reading, UI, branding","Refined, neutral, modern, and highly readable","Articoli web, testi lunghi, interfacce, branding","Raffinato, neutro, moderno e molto leggibile"
"Kosugi","Sans Serif","Signage, captions, retro UI, instructional text","Plain, geometric, clear, and functional","Segnaletica, didascalie, interfacce in stile retro, testi istruttivi","Semplice, geometrico, chiaro e funzionale"
"Kosugi Maru","Sans Serif","Casual signage, kids' content, app UI, packaging","Friendly, rounded, soft, and casual","Segnaletica informale, contenuti per bambini, interfacce di app, packaging","Amichevole, arrotondato, morbido e informale"
"Sawarabi Gothic","Sans Serif","Web body text, UI labels, simple documents","Plain, neutral, simple, and clean","Testo per il web, etichette di interfaccia, documenti semplici","Semplice, neutro, essenziale e pulito"
"Sawarabi Mincho","Serif","Web body text needing a traditional feel, blogs, articles","Calm, traditional, simple, and readable","Testo per il web con un tono tradizionale, blog, articoli","Calmo, tradizionale, semplice e leggibile"
"Shippori Mincho","Serif","Book covers, literary titles, branding, packaging","Elegant, literary, traditional, and refined","Copertine di libri, titoli letterari, branding, packaging","Elegante, letterario, tradizionale e raffinato"
"Shippori Mincho B1","Serif","Packaging, branding wanting warmth with tradition, greeting cards","Warm, soft, elegant, and nostalgic","Packaging, branding che unisce calore e tradizione, biglietti di auguri","Caldo, morbido, elegante e nostalgico"
"Zen Kaku Gothic New","Sans Serif","Corporate branding, headlines, UI, signage","Modern, clean, neutral, and sophisticated","Branding aziendale, titoli, interfacce, segnaletica","Moderno, pulito, neutro e sofisticato"
"Zen Kaku Gothic Antique","Sans Serif","Editorial headlines, branding, posters","Warm, humanist, modern, and approachable","Titoli editoriali, branding, poster","Caldo, umanista, moderno e accogliente"
"Zen Old Mincho","Serif","Literary titles, book design, traditional branding","Classic, dignified, traditional, and elegant","Titoli letterari, progettazione di libri, branding tradizionale","Classico, dignitoso, tradizionale ed elegante"
"Zen Maru Gothic","Sans Serif","Branding, kids' content, casual UI, packaging","Soft, friendly, rounded, and warm","Branding, contenuti per bambini, interfacce informali, packaging","Morbido, amichevole, arrotondato e caldo"
